연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2005,카이로 국제영화제,일반(종합),"제니, 주노",김호준,,,
2005,카이로 국제영화제,일반(종합),댄서의 순정,박영훈,,,
2005,케이프타운 세계 영화제,일반(종합),올드보이,박찬욱,A Disparate World,,
2005,케이프타운 세계 영화제,일반(종합),사마리아,김기덕,A Disparate World,,
2005,케이프타운 세계 영화제,일반(종합),빈집,김기덕,A Disparate World,,
2005,리옹 아시아 영화제,일반(종합),남극일기,임필성,.,,
2005,리옹 아시아 영화제,일반(종합),인어 공주,박흥식,.,,
2005,리옹 아시아 영화제,일반(종합),여섯 개의 시선,"박진표,박찬욱,여균동,임순례,정재은",.,,
2005,리옹 아시아 영화제,일반(종합),말아톤,정윤철,경쟁,,
2005,리옹 아시아 영화제,일반(종합),친절한 금자씨,박찬욱,.,,
2005,리옹 아시아 영화제,일반(종합),반칙왕,김지운,.,,
2005,리옹 아시아 영화제,일반(종합),동백꽃,"소준문,이송희일,최진성",뉴 아시안 시네마-경쟁부문,Press Award for Best Film 3등상,
2005,리옹 아시아 영화제,일반(종합),내츄럴시티,민병천,.,,
2005,리옹 아시아 영화제,일반(종합),활,김기덕,.,,
2005,리옹 아시아 영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,.,,
2005,리즈 국제영화제,일반(종합),활,김기덕,공식 초청,,
2005,리즈 국제영화제,일반(종합),달콤한 인생,김지운,파노메논,,
2005,디렉터스 컷 어워즈,일반(종합),너는 내 운명,박진표,,올해의 여자배우상,전도연
2005,디렉터스 컷 어워즈,일반(종합),친절한 금자씨,박찬욱,,올해의 여자배우상,이영애
2005,디렉터스 컷 어워즈,일반(종합),태풍태양,정재은,,올해의 새로운 여자배우상,조이진
2005,디렉터스 컷 어워즈,일반(종합),말아톤,정윤철,,올해의 신인 감독상,정윤철
2005,디렉터스 컷 어워즈,일반(종합),웰컴 투 동막골,박광현,,올해의 남자배우상,정재영
2005,디렉터스 컷 어워즈,일반(종합),그때 그 사람들,임상수,,올해의 감독상,임상수
2005,디렉터스 컷 어워즈,일반(종합),용서받지 못한 자,윤종빈,,올해의 새로운 남자배우상,하정우
2005,자카르타 국제영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,.,,
2005,자카르타 국제영화제,일반(종합),효자동 이발사,임찬상,.,,
2005,자카르타 국제영화제,일반(종합),원더풀 데이즈,김문생,.,,
2005,자카르타 국제영화제,일반(종합),태극기 휘날리며,강제규,.,,
2005,자카르타 국제영화제,일반(종합),올드보이,박찬욱,.,,
2005,두바이 국제영화제,일반(종합),형사 Duelist,이명세,,,
2005,서울독립영화제,독립,바라만본다,양익준,,,
2005,서울독립영화제,독립,미확인 미행물체,백의정,본선경쟁,,
2005,서울독립영화제,독립,원폭 60년 그리고…,김환태,본선경쟁,,
